fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-14,DL,DL,DL,798,DL,N991AT,798,11433,DTW,"Detroit, MI",10529,BDL,"Hartford, CT",1555,1611,16,15,1626,1741,5,1743,1746,3,0,,0,N,108,95,75,1,549,,,,,,,,,
2018-08-05,WN,WN,WN,3120,WN,N7708E,3120,14893,SMF,"Sacramento, CA",13891,ONT,"Ontario, CA",2045,2121,36,8,2129,2227,5,2200,2232,32,0,,0,N,75,71,58,1,390,0,0,0,0,32,,,,
2018-12-21,AA,AA_CODESHARE,AA,3650,MQ,N645AE,3650,15048,SUX,"Sioux City, IA",13930,ORD,"Chicago, IL",1544,1751,127,13,1804,1918,28,1723,1946,143,0,,0,N,99,115,74,1,436,7,0,16,0,120,,,,
2018-02-03,AA,AA_CODESHARE,AA,5793,YV,N248LR,5793,14698,SBP,"San Luis Obispo, CA",14107,PHX,"Phoenix, AZ",1620,1650,30,20,1710,1927,11,1910,1938,28,0,,0,N,110,108,77,1,509,0,0,28,0,0,,,,
2018-11-26,AS,AS,AS,60,AS,N525AS,60,12819,KTN,"Ketchikan, AK",14747,SEA,"Seattle, WA",950,937,-13,8,945,1235,8,1247,1243,-4,0,,0,N,117,126,110,1,680,,,,,,,,,
2019-11-28,WN,WN,WN,4118,WN,N432WN,4118,12896,LBB,"Lubbock, TX",11259,DAL,"Dallas, TX",615,617,2,12,629,717,6,725,723,-2,0,,0,N,70,66,48,1,293,,,,,,,,,
2019-03-11,WN,WN,WN,2066,WN,N927WN,2066,11292,DEN,"Denver, CO",15370,TUL,"Tulsa, OK",1050,1052,2,16,1108,1318,5,1320,1323,3,0,,0,N,90,91,70,1,541,,,,,,,,,
2019-03-15,AS,AS_CODESHARE,AS,3370,OO,N186SY,3370,14771,SFO,"San Francisco, CA",14908,SNA,"Santa Ana, CA",615,608,-7,35,643,747,4,755,751,-4,0,,0,N,100,103,64,1,372,,,,,,,,,
2018-09-06,AA,AA_CODESHARE,AA,5617,OH,N723PS,5617,13342,MKE,"Milwaukee, WI",11057,CLT,"Charlotte, NC",1341,1332,-9,10,1342,1622,34,1700,1656,-4,0,,0,N,139,144,100,1,651,,,,,,,,,
2018-06-16,WN,WN,WN,2758,WN,N8560Z,2758,11697,FLL,"Fort Lauderdale, FL",13232,MDW,"Chicago, IL",1535,1534,-1,16,1550,1725,5,1745,1730,-15,0,,0,N,190,176,155,1,1167,,,,,,,,,
2018-04-10,UA,UA_CODESHARE,UA,4740,AX,N24128,4740,11292,DEN,"Denver, CO",13871,OMA,"Omaha, NE",751,748,-3,13,801,1007,3,1020,1010,-10,0,,0,N,89,82,66,1,472,,,,,,,,,
